PAYM,PAYM_I,PAYM_D,PAYM_A,PAYM_R,Press.Direct,Press.Brand,OOH Spend,Radio,TV,Display.Direct,Display.Brand,FTSE ,Libor,Consumer_Conf,InfRate,VF.Share,Con.VF.Yes,Con.VF.No,BAS.VF,VF.Emotion,VF.Perf.Support,Sales.Season,Natural.Season,Vodafone_A,Vodafone_B,Vodafone_C,Vodafone_D,O2_A_diff,O2_B_diff,O2_D_diff,Orange_B_diff,Orange_D_diff,T-Mobile_B_diff
67533,20094,47439,32811,34722,76851.98,29906,0.00000001,0.00000001,192629.0323,51870.19176,75196.55405,6560.3,0.68,-16,-0.1,0.14675521,86.4,13.6,93.16239316,31.16985648,1.539314304,Pre_Launch,Summer,13,24.46,38.25,52,0.25,-0.15,0,-0.85,0,-1.78
60472,16318,44154,29706,30766,57498.5,388921,85500,0.00000001,449467.7419,148560.9417,72949.76795,6619.6,0.67,-13,0.6,0.144897959,76.2,18.2,89,32.44779968,1.305999994,Pre_Launch,Summer,13,24.46,38.25,52,0.25,-0.15,0,-0.85,0,-1.78
62351,17601,44750,31274,31077,68718.9,319446,712117.21,120000,449467.7419,328219.092,65813.236,6574.3,0.67,-13,0.6,0.144897959,50,19.5,88.88888889,32.44779968,1.305999994,Pre_Launch,Summer,13,24.46,38.25,52,0.25,-0.15,0,-0.85,0,-1.78
60143,17314,42829,29806,30337,76875.4,125306,797553.41,140000,449467.7419,241327.3888,68279.75743,6465.7,0.67,-13,0.6,0.144897959,87.5,17.9,87.59124088,32.44779968,1.305999994,Pre_Launch,Summer,13,24.46,38.25,52,0.25,-0.15,0,-0.85,0,-1.78
34762,7477,27285,14005,20757,74663.6,549100,918799.7,40000,449467.7419,30405.70854,54258.80857,6441,0.67,-13,0.6,0.144897959,80,23.9,88.13559322,32.44779968,1.305999994,Pre_Launch,Summer,13,24.46,38.25,52,0.25,-0.15,0,-0.85,0,-1.78
52233,14032,38442,23970,28504,74492.5,325188,806081.85,0.00000001,822227.75,0.00000001,51268.65743,6506.2,0.65,-10,0.4,0.160824742,64.3,12.5,89.51612903,28.21990013,2.868099928,Pre_Launch,Summer,13,24.46,40.05,53.25,0,1.12,-1.25,-0.85,-1.25,-1.78
49750,16537,34006,25341,25202,68393.5,269626,337751.96,0.00000001,822227.75,0.00000001,62366.78643,6530.7,0.65,-10,0.4,0.160824742,52.9,13.3,87.82051282,28.21990013,2.868099928,Pre_Launch,Summer,13,24.46,40.05,53.25,0,1.12,-1.25,-0.85,3.25,-1.78
77502,22171,57288,39332,40127,90085.8,17000,184530.15,0.00000001,822227.75,0.00000001,74892.52314,6622.9,0.65,-10,0.4,0.160824742,77.8,20,86.15384615,28.21990013,2.868099928,Pre_Launch,Summer,13,24.46,40.05,53.25,0,1.12,-1.25,-0.85,3.25,-1.78
79064,26091,54806,40166,40731,188293.35,104926,100759.35,3796.5,822227.75,6176.628592,80372.08729,6557.4,0.65,-10,0.4,0.160824742,68.8,13.4,85.79234973,28.21990013,2.868099928,Pre_Launch,Autumn,13,24.46,40.05,53.25,0,1.12,-1.25,-0.85,3.25,-1.78
65769,20712,45041,32171,33582,113962.3,106879,82852.21,26575.5,0.00000001,2470.651437,78592.14603,6462.2,0.65,-10,0.4,0.166639582,64.3,22.1,84.07079646,27.53018515,2.04860001,Pre_Launch,Autumn,13,24.46,40.05,53.25,0,1.12,-1.25,-0.85,3.25,-1.78
